--- MusaX Trace Log ---
T:30721 | CH:2 | PC:034 | NOTE A-2 wait:384
T:31105 | CH:0 | PC:01E | NOTE C-5 wait:384
T:31105 | CH:2 | PC:037 | NOTE C-3 wait:384
T:31489 | CH:0 | PC:021 | NOTE E-5 wait:384
T:31489 | CH:1 | PC:02E | NOTE C-4 wait:768
T:31489 | CH:2 | PC:03A | NOTE F-3 wait:384
T:31873 | CH:0 | PC:024 | NOTE D-5 wait:384
T:31873 | CH:2 | PC:03D | NOTE E-3 wait:384
T:32257 | CH:0 | PC:027 | NOTE C-5 wait:384
T:32257 | CH:1 | PC:031 | NOTE B-3 wait:768
T:32257 | CH:2 | PC:040 | NOTE D-3 wait:384
T:32641 | CH:0 | PC:02A | NOTE B-4 wait:384
T:32641 | CH:2 | PC:043 | NOTE C-3 wait:384
T:33025 | CH:0 | PC:02D | NOTE A-4 wait:768
T:33025 | CH:1 | PC:034 | NOTE A-3 wait:768
T:33025 | CH:2 | PC:046 | NOTE B-2 wait:384
T:33409 | CH:2 | PC:049 | NOTE A-2 wait:384
T:33793 | CH:0 | PC:030 | NOTE E-4 wait:384
T:33793 | CH:1 | PC:037 | NOTE A-3 wait:1536
T:33793 | CH:2 | PC:04C | NOTE E-2 wait:384
T:34177 | CH:0 | PC:033 | NOTE Gs4 wait:384
T:34177 | CH:2 | PC:04F | NOTE Gs2 wait:384
T:34561 | CH:0 | PC:036 | NOTE B-4 wait:384
T:34561 | CH:2 | PC:052 | NOTE B-2 wait:384
T:34945 | CH:0 | PC:039 | NOTE Gs4 wait:384
T:34945 | CH:2 | PC:055 | NOTE E-3 wait:384
T:35329 | CH:0 | PC:03C | NOTE A-4 wait:384
T:35329 | CH:1 | PC:03A | NOTE E-3 wait:1536
T:35329 | CH:2 | PC:058 | NOTE D-3 wait:384
T:35713 | CH:0 | PC:03F | NOTE G-4 wait:384
T:35713 | CH:2 | PC:05B | NOTE C-3 wait:384
T:36097 | CH:0 | PC:042 | NOTE F-4 wait:384
T:36097 | CH:2 | PC:05E | NOTE B-2 wait:384
T:36481 | CH:0 | PC:045 | NOTE E-4 wait:384
T:36481 | CH:2 | PC:061 | NOTE Gs2 wait:384
T:36865 | CH:0 | PC:048 | NOTE A-4 wait:384
T:36865 | CH:1 | PC:03D | RESTART -> PC:007
T:36865 | CH:1 | PC:007 | NOTE E-4 wait:768
T:36865 | CH:2 | PC:064 | GOTO -> PC:067
T:36865 | CH:2 | PC:067 | NOTE A-2 wait:384
T:37249 | CH:0 | PC:04B | NOTE C-5 wait:384
T:37249 | CH:2 | PC:06A | NOTE B-2 wait:384
T:37633 | CH:0 | PC:04E | NOTE E-5 wait:384
T:37633 | CH:1 | PC:00A | NOTE E-4 wait:768
T:37633 | CH:2 | PC:06D | NOTE C-3 wait:384
T:38017 | CH:0 | PC:051 | NOTE D-5 wait:384
T:38017 | CH:2 | PC:070 | NOTE D-3 wait:384
T:38401 | CH:0 | PC:054 | NOTE C-5 wait:768
T:38401 | CH:1 | PC:00D | NOTE D-4 wait:768
T:38401 | CH:2 | PC:073 | NOTE E-3 wait:384
T:38785 | CH:2 | PC:076 | NOTE F-3 wait:384
T:39169 | CH:0 | PC:057 | NOTE Gs4 wait:768
T:39169 | CH:1 | PC:010 | NOTE C-4 wait:768
T:39169 | CH:2 | PC:079 | NOTE G-3 wait:384
T:39553 | CH:2 | PC:07C | NOTE A-3 wait:384
T:39937 | CH:0 | PC:05A | NOTE A-4 wait:1536
T:39937 | CH:1 | PC:013 | NOTE E-4 wait:768
T:39937 | CH:2 | PC:07F | NOTE A-3 wait:384
T:40321 | CH:2 | PC:082 | NOTE G-3 wait:384
T:40705 | CH:1 | PC:016 | NOTE B-3 wait:768
T:40705 | CH:2 | PC:085 | NOTE F-3 wait:384
T:41089 | CH:2 | PC:088 | NOTE E-3 wait:384
T:41473 | CH:0 | PC:05D | REST len:1536
T:41473 | CH:1 | PC:019 | NOTE C-4 wait:768
T:41473 | CH:2 | PC:08B | NOTE D-3 wait:384
T:41857 | CH:2 | PC:08E | NOTE C-3 wait:384
T:42241 | CH:1 | PC:01C | NOTE D-4 wait:768
T:42241 | CH:2 | PC:091 | NOTE B-2 wait:384
T:42625 | CH:2 | PC:094 | NOTE A-2 wait:384
T:43009 | CH:0 | PC:060 | NOTE F-4 wait:384
T:43009 | CH:1 | PC:01F | NOTE E-4 wait:768
T:43009 | CH:2 | PC:097 | NOTE A-2 wait:384
T:43393 | CH:0 | PC:063 | NOTE A-4 wait:384
T:43393 | CH:2 | PC:09A | NOTE C-3 wait:384
T:43777 | CH:0 | PC:066 | NOTE C-5 wait:384
T:43777 | CH:1 | PC:022 | NOTE E-4 wait:768
T:43777 | CH:2 | PC:09D | NOTE E-3 wait:384
T:44161 | CH:0 | PC:069 | NOTE A-4 wait:384
T:44161 | CH:2 | PC:0A0 | NOTE A-3 wait:384
T:44545 | CH:0 | PC:06C | NOTE F-4 wait:384
T:44545 | CH:1 | PC:025 | NOTE F-4 wait:768
T:44545 | CH:2 | PC:0A3 | NOTE E-3 wait:384
T:44929 | CH:0 | PC:06F | NOTE G-4 wait:384
T:44929 | CH:2 | PC:0A6 | NOTE C-3 wait:384
T:45313 | CH:0 | PC:072 | NOTE A-4 wait:768
T:45313 | CH:1 | PC:028 | NOTE E-4 wait:768
T:45313 | CH:2 | PC:0A9 | NOTE E-3 wait:384
T:45697 | CH:2 | PC:0AC | NOTE C-3 wait:384
T:46081 | CH:0 | PC:075 | NOTE E-4 wait:384
T:46081 | CH:1 | PC:02B | NOTE D-4 wait:768
T:46081 | CH:2 | PC:0AF | NOTE A-3 wait:384
T:46465 | CH:0 | PC:078 | NOTE Gs4 wait:384
T:46465 | CH:2 | PC:0B2 | NOTE Gs3 wait:384
T:46849 | CH:0 | PC:07B | NOTE B-4 wait:384
T:46849 | CH:1 | PC:02E | NOTE C-4 wait:768
T:46849 | CH:2 | PC:0B5 | NOTE G-3 wait:384
T:47233 | CH:0 | PC:07E | NOTE Gs4 wait:384
T:47233 | CH:2 | PC:0B8 | NOTE F-3 wait:384
T:47617 | CH:0 | PC:081 | NOTE A-4 wait:768
T:47617 | CH:1 | PC:031 | NOTE B-3 wait:768
T:47617 | CH:2 | PC:0BB | NOTE E-3 wait:384
T:48001 | CH:2 | PC:0BE | NOTE D-3 wait:384
T:48385 | CH:0 | PC:084 | REST len:768
T:48385 | CH:1 | PC:034 | NOTE A-3 wait:768
T:48385 | CH:2 | PC:0C1 | NOTE C-3 wait:384
T:48769 | CH:2 | PC:0C4 | NOTE A-2 wait:384
T:49153 | CH:0 | PC:087 | NOTE D-5 wait:384
T:49153 | CH:1 | PC:037 | NOTE A-3 wait:1536
T:49153 | CH:2 | PC:0C7 | RESTART -> PC:004
T:49153 | CH:2 | PC:004 | NOTE A-2 wait:384
T:49537 | CH:0 | PC:08A | NOTE C-5 wait:384
T:49537 | CH:2 | PC:007 | NOTE C-3 wait:384
T:49921 | CH:0 | PC:08D | NOTE B-4 wait:384
T:49921 | CH:2 | PC:00A | NOTE E-3 wait:384
T:50305 | CH:0 | PC:090 | NOTE A-4 wait:384
T:50305 | CH:2 | PC:00D | NOTE C-3 wait:384
T:50689 | CH:0 | PC:093 | NOTE Gs4 wait:384
T:50689 | CH:1 | PC:03A | NOTE E-3 wait:1536
T:50689 | CH:2 | PC:010 | NOTE A-2 wait:384
