--- MusaX Trace Log: examples/fx_test.Z8A ---
T:30721 | CH:1 | PC:000 | VOLUME val:8
T:30721 | CH:1 | PC:002 | INST id:0
T:30721 | CH:1 | PC:004 | NOTE E-4 wait:768
T:31489 | CH:0 | PC:007 | NOTE D-4 wait:768
T:31489 | CH:1 | PC:007 | NOTE G-4 wait:768
T:32257 | CH:0 | PC:00A | NOTE E-4 wait:768
T:32257 | CH:1 | PC:000 | VOLUME val:8
T:32257 | CH:1 | PC:002 | INST id:0
T:32257 | CH:1 | PC:004 | NOTE E-4 wait:768
T:33025 | CH:0 | PC:00D | NOTE F-4 wait:768
T:33025 | CH:1 | PC:007 | NOTE G-4 wait:768
T:33793 | CH:0 | PC:000 | VOLUME val:10
T:33793 | CH:0 | PC:002 | INST id:0
T:33793 | CH:0 | PC:004 | NOTE C-4 wait:768
T:33793 | CH:1 | PC:000 | VOLUME val:8
T:33793 | CH:1 | PC:002 | INST id:0
T:33793 | CH:1 | PC:004 | NOTE E-4 wait:768
T:34561 | CH:0 | PC:007 | NOTE D-4 wait:768
T:34561 | CH:1 | PC:007 | NOTE G-4 wait:768
T:35329 | CH:0 | PC:00A | NOTE E-4 wait:768
T:35329 | CH:1 | PC:000 | VOLUME val:8
T:35329 | CH:1 | PC:002 | INST id:0
T:35329 | CH:1 | PC:004 | NOTE E-4 wait:768
T:36097 | CH:0 | PC:00D | NOTE F-4 wait:768
T:36097 | CH:1 | PC:007 | NOTE G-4 wait:768
T:36865 | CH:0 | PC:000 | VOLUME val:10
T:36865 | CH:0 | PC:002 | INST id:0
T:36865 | CH:0 | PC:004 | NOTE C-4 wait:768
T:36865 | CH:1 | PC:000 | VOLUME val:8
T:36865 | CH:1 | PC:002 | INST id:0
T:36865 | CH:1 | PC:004 | NOTE E-4 wait:768
T:37633 | CH:0 | PC:007 | NOTE D-4 wait:768
T:37633 | CH:1 | PC:007 | NOTE G-4 wait:768
T:38401 | CH:0 | PC:00A | NOTE E-4 wait:768
T:38401 | CH:1 | PC:000 | VOLUME val:8
T:38401 | CH:1 | PC:002 | INST id:0
T:38401 | CH:1 | PC:004 | NOTE E-4 wait:768
T:39169 | CH:0 | PC:00D | NOTE F-4 wait:768
T:39169 | CH:1 | PC:007 | NOTE G-4 wait:768
T:39937 | CH:0 | PC:000 | VOLUME val:10
T:39937 | CH:0 | PC:002 | INST id:0
T:39937 | CH:0 | PC:004 | NOTE C-4 wait:768
T:39937 | CH:1 | PC:000 | VOLUME val:8
T:39937 | CH:1 | PC:002 | INST id:0
T:39937 | CH:1 | PC:004 | NOTE E-4 wait:768
T:40705 | CH:0 | PC:007 | NOTE D-4 wait:768
T:40705 | CH:1 | PC:007 | NOTE G-4 wait:768
T:41473 | CH:0 | PC:00A | NOTE E-4 wait:768
T:41473 | CH:1 | PC:000 | VOLUME val:8
T:41473 | CH:1 | PC:002 | INST id:0
T:41473 | CH:1 | PC:004 | NOTE E-4 wait:768
T:42241 | CH:0 | PC:00D | NOTE F-4 wait:768
T:42241 | CH:1 | PC:007 | NOTE G-4 wait:768
T:43009 | CH:0 | PC:000 | VOLUME val:10
T:43009 | CH:0 | PC:002 | INST id:0
T:43009 | CH:0 | PC:004 | NOTE C-4 wait:768
T:43009 | CH:1 | PC:000 | VOLUME val:8
T:43009 | CH:1 | PC:002 | INST id:0
T:43009 | CH:1 | PC:004 | NOTE E-4 wait:768
T:43777 | CH:0 | PC:007 | NOTE D-4 wait:768
T:43777 | CH:1 | PC:007 | NOTE G-4 wait:768
T:44545 | CH:0 | PC:00A | NOTE E-4 wait:768
T:44545 | CH:1 | PC:000 | VOLUME val:8
T:44545 | CH:1 | PC:002 | INST id:0
T:44545 | CH:1 | PC:004 | NOTE E-4 wait:768
T:45313 | CH:0 | PC:00D | NOTE F-4 wait:768
T:45313 | CH:1 | PC:007 | NOTE G-4 wait:768
T:46081 | CH:0 | PC:000 | VOLUME val:10
T:46081 | CH:0 | PC:002 | INST id:0
T:46081 | CH:0 | PC:004 | NOTE C-4 wait:768
T:46081 | CH:1 | PC:000 | VOLUME val:8
T:46081 | CH:1 | PC:002 | INST id:0
T:46081 | CH:1 | PC:004 | NOTE E-4 wait:768
T:46849 | CH:0 | PC:007 | NOTE D-4 wait:768
T:46849 | CH:1 | PC:007 | NOTE G-4 wait:768
T:47617 | CH:0 | PC:00A | NOTE E-4 wait:768
T:47617 | CH:1 | PC:000 | VOLUME val:8
T:47617 | CH:1 | PC:002 | INST id:0
